OBJECTID *,Shape *,SiteID,Site Name,Region,Latitude,Longitude,Is a WMTC site?,GlobalID *,SiteID,Region ID,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,NY_F2016,F2017,NY_F2017,F2018,NY_F2018,F2019,NY_F2019,F2020,NY_F2020,F2021,NY_F2021,F2022,NY_F2022,Shape_Length,Shape_Area,max_value,max_year,count_variance,mad,Score,median_10yr,mad_10yr,score_10yr,average_10yr,count_10yr,stdDev_10yr
26,Polygon,2822,"Vandenberg AFB, UDMH Site",Santa Barbara,34.671081,-120.596168,Y,{0717D3E7-241F-45BF-BCC5-695E17693FA7},2822,r0011,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,6012,1133,3389.399245,914046.9034,6012,2022,5951160.25,2439.5,2.464439,3572.5,2439.5,1.464439,3572.5,2,3449.973985
15,Polygon,2712,"Vandenberg AFB, Spring Canyon",Santa Barbara,34.631559,-120.618043,Y,{419ADDA9-8352-4B14-9C4B-C35057A1A06E},2712,r0011,50000,1500,5780,8830,4800,<Null>,<Null>,<Null>,700,2899,<Null>,<Null>,<Null>,<Null>,6015,1025,0,0,0,3861,<Null>,49,5,928,282,154,223,6,8,16616,7224,10768,2511,848.52395,26387.905,50000,1997,101295291.8,1025,48.780488,223,223,1,2568.235294,17,4712.868348
16,Polygon,2713,"Vandenberg AFB, Upper Spring Canyon",Santa Barbara,34.631104,-120.614272,Y,{971C36A8-93DF-4A5C-9E33-F52FF135F914},2713,r0011,60000,50,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,60,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,11082,2447,8625,1430,<Null>,8,4,0,<Null>,37,70,0,<Null>,30,18,186,<Null>,825.821484,19539.35182,60000,1997,199397000.9,49,1224.489796,33.5,33.5,1,1709.857143,14,3555.555433
5,Polygon,2699,"Vandenberg AFB, Tangair Rd.",Santa Barbara,34.751246,-120.611795,Y,{295A84FE-591E-4583-956B-BFDA5339BA56},2699,r0011,25500,8100,3860,<Null>,0,<Null>,<Null>,<Null>,5095,329,<Null>,<Null>,<Null>,<Null>,2563,692,3983,946,2860,2376,<Null>,4812,2527,73,2,29,1,0,0,5101,1876,35,0,2763.364548,131020.5193,25500,1997,26871785.97,1410.5,18.078695,692,692,1,1489,17,1810.732552
12,Polygon,2709,"Vandenberg AFB, Mesa Rd / Arguello Blvd.",Santa Barbara,34.661462,-120.568946,Y,{E17825A1-E910-48D7-8617-388C212BFDC7},2709,r0011,6500,50,1210,2800,410,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2642,774,6716,1025,1706,787,<Null>,690,0,0,<Null>,<Null>,1,0,0,372,310,6,<Null>,1411.479898,47128.03374,6716,2013,3795112.348,549.5,12.22202,341,341,1,884.785714,14,1754.882033
6,Polygon,2700,"Vandenberg AFB, Cross Rd.",Santa Barbara,34.757166,-120.581838,Y,{3D05C698-F655-401E-B301-04F69D625A46},2700,r0011,<Null>,<Null>,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,15,10,1230,1130,103,3,<Null>,<Null>,<Null>,<Null>,<Null>,0,<Null>,0,0,1506,<Null>,461,0,1664.954792,86439.65268,1506,2021,288657.6095,10,150.6,10,10,1,403.909091,11,590.466503
27,Polygon,3209,"Vandenberg AFB, South Gate Grove",Santa Barbara,34.675372,-120.556217,Y,{9F48C00C-5F30-43C6-B78E-E924E8BFE2EE},3209,r0011,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,5,1379,447,<Null>,3,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,7,<Null>,281,0,750.817576,20255.13534,1379,2015,186685.9506,5,275.8,5,5,1,235.777778,9,458.281239
29,Polygon,2708,"Vandenberg AFB, Water Treatment  Plant",Santa Barbara,34.682195,-120.537921,Y,{1593BC79-CF0F-4428-868E-44296F284F47},2708,r0011,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,302,613,420,630,<Null>,1,<Null>,2,<Null>,0,<Null>,<Null>,<Null>,<Null>,<Null>,0,<Null>,2,24,1459.433587,28776.45561,630,2014,64325.44,13,48.461538,2,2,1,188,9,280.971084
31,Polygon,3246,"Vandenberg AFB, Minuteman",Santa Barbara,34.855471,-120.604741,Y,{2E3D0255-2E29-470F-8C18-E2BF3771ADD8},3246,r0011,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,39,<Null>,9,2,17,<Null>,7,10,115,118,401,1156,3984.576376,1263306.814,1156,2022,117514.24,23.5,49.191489,28,23.5,1.191489,187.4,10,361.346617
8,Polygon,2702,"Vandenberg AFB, Airfield Rd.",Santa Barbara,34.734117,-120.55656,Y,{FB937DCB-035A-4D1C-A17A-CA3E5FE418AB},2702,r0011,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,303,0,0,<Null>,<Null>,1254,<Null>,56,0,<Null>,<Null>,0,<Null>,0,0,<Null>,<Null>,1,291,1463.189082,87787.37714,1254,2016,129293.7851,0,<Null>,0,0,<Null>,160.2,10,394.925253
